"Year,""Trade.Flow"",""Reporter"",""Commodity.Code"",""Trade.Value..US.."",""Group"""
"2016,""Imports"",""Armenia"",202,1727,""CIS"""
"2016,""Imports"",""Armenia"",202,6154,""CIS"""
"2016,""Imports"",""Armenia"",202,10212,""CIS"""
"2016,""Imports"",""Armenia"",202,11455,""CIS"""
"2016,""Imports"",""Armenia"",202,10565,""CIS"""
"2016,""Imports"",""Armenia"",202,5954,""CIS"""
"2016,""Imports"",""Armenia"",202,2368,""CIS"""
"2016,""Imports"",""Armenia"",202,3862,""CIS"""
"2016,""Imports"",""Armenia"",202,4780,""CIS"""
"2016,""Imports"",""Armenia"",202,10722,""CIS"""
"2016,""Imports"",""Kyrgyzstan"",202,3238,""CIS"""
"2016,""Imports"",""Kyrgyzstan"",202,100,""CIS"""
"2016,""Imports"",""Kyrgyzstan"",202,428,""CIS"""
"2016,""Imports"",""Kyrgyzstan"",202,150,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,122241,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,134378,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,98991,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,304872,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,285144,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,816002,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,441708,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,670596,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,796690,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,795949,""CIS"""
"2016,""Exports"",""Rep. of Moldova"",202,804343,""CIS"""
"2016,""Exports"",""Ukraine"",202,749,""CIS"""
"2016,""Exports"",""Ukraine"",202,126,""CIS"""
"2017,""Imports"",""Azerbaijan"",202,18536,""CIS"""
"2017,""Imports"",""Azerbaijan"",202,48104,""CIS"""
"2017,""Imports"",""Azerbaijan"",202,9105,""CIS"""
"2017,""Imports"",""Azerbaijan"",202,5444,""CIS"""
"2017,""Imports"",""Azerbaijan"",202,9051,""CIS"""
"2017,""Imports"",""Azerbaijan"",202,41827,""CIS"""
